      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.706      254     (    0    0    0
    0:00.753      271     p    0    0    0
    0:00.817      294     )    0    0    0
    0:00.842      303     (    0    0    1
    0:00.906      326     N    0    0    0
    0:00.936      337     )    0    0    1
    0:01.039      374     (    0    0    2
    0:01.164      419     t    0    0    0
    0:01.308      471     )    0    0    2
    0:01.353      487     (    0    0    0
    0:01.400      504     p    0    0    0
    0:01.464      527     )    0    0    0
    0:01.494      538     (    0    0    1
    0:01.561      562     N    0    0    0
    0:01.661      598     )    0    0    1
    0:01.681      605     (    0    0    2
    0:01.833      660     t    0    0    0
    0:01.956      704     )    0    0    2
    0:02.008      723     (    0    0    0
    0:02.058      741     p    0    0    0
    0:02.100      756     )    0    0    0
    0:02.153      775     (    0    0    1
    0:02.217      798     N    0    0    0
    0:02.247      809     )    0    0    1
    0:02.386      859     (    0    0    2
    0:02.503      901     t    0    0    0
    0:02.597      935     )    0    0    2
    0:02.633      948     (    0    0    0
    0:02.681      965     p    0    0    0
    0:02.764      995     )    0    0    0
    0:02.767      996     (    0    0    1
    0:02.831     1019     N    0    0    0
    0:02.858     1029     )    0    0    1
    0:02.975     1071     (    0    0    2
    0:03.089     1112     t    0    0    0
    0:03.208     1155     )    0    0    2
    0:03.286     1183     (    0    0    0
    0:03.328     1198     p    0    0    0
    0:03.392     1221     )    0    0    0
    0:03.417     1230     (    0    0    1
    0:03.481     1253     N    0    0    0
    0:03.522     1268     )    0    0    1
    0:03.614     1301     (    0    0    2
    0:03.731     1343     t    0    0    0
    0:03.875     1395     )    0    0    2
    0:03.931     1415     (    0    0    0
    0:03.978     1432     p    0    0    0
    0:04.039     1454     )    0    0    0
    0:04.069     1465     (    0    0    1
    0:04.133     1488     N    0    0    0
    0:04.167     1500     )    0    0    1
    0:04.272     1538     (    0    0    2
    0:04.397     1583     t    0    0    0
    0:04.536     1633     )    0    0    2
    0:04.603     1657     (    0    0    0
    0:04.644     1672     p    0    0    0
    0:04.711     1696     )    0    0    0
    0:04.739     1706     (    0    0    1
    0:04.806     1730     N    0    0    0
    0:04.839     1742     )    0    0    1
    0:04.939     1778     (    0    0    2
    0:05.069     1825     t    0    0    0
    0:05.208     1875     )    0    0    2
    0:05.269     1897     (    0    0    0
    0:05.314     1913     p    0    0    0
    0:05.381     1937     )    0    0    0
    0:05.400     1944     (    0    0    1
    0:05.464     1967     N    0    0    0
    0:05.494     1978     )    0    0    1
    0:05.642     2031     (    0    0    2
    0:05.719     2059     t    0    0    0
